jour_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
mardi;2024-09-17;30;32;20;41;44;10;1;-20-30-32-41-44-;-1-10-
vendredi;2024-09-13;31;42;10;15;17;4;12;-10-15-17-31-42-;-4-12-
mardi;2024-09-10;48;46;6;29;47;9;2;-6-29-46-47-48-;-2-9-
vendredi;2024-09-06;34;47;14;12;41;3;4;-12-14-34-41-47-;-3-4-
mardi;2024-09-03;7;9;11;45;16;5;2;-7-9-11-16-45-;-2-5-
vendredi;2024-08-30;3;24;42;33;27;6;4;-3-24-27-33-42-;-4-6-
mardi;2024-08-27;1;47;42;8;11;11;4;-1-8-11-42-47-;-4-11-
vendredi;2024-08-23;50;47;24;9;15;8;9;-9-15-24-47-50-;-8-9-
mardi;2024-08-20;10;18;13;26;7;12;3;-7-10-13-18-26-;-3-12-
vendredi;2024-08-16;49;45;15;29;17;10;1;-15-17-29-45-49-;-1-10-
mardi;2024-08-13;15;16;40;47;39;1;6;-15-16-39-40-47-;-1-6-
vendredi;2024-08-09;33;23;25;44;21;4;10;-21-23-25-33-44-;-4-10-
mardi;2024-08-06;41;27;50;1;18;2;12;-1-18-27-41-50-;-2-12-
vendredi;2024-08-02;12;7;33;5;46;3;12;-5-7-12-33-46-;-3-12-
mardi;2024-07-30;28;37;9;38;25;2;8;-9-25-28-37-38-;-2-8-
vendredi;2024-07-26;35;37;23;19;4;8;4;-4-19-23-35-37-;-4-8-
mardi;2024-07-23;8;10;16;34;4;8;4;-4-8-10-16-34-;-4-8-
vendredi;2024-07-19;44;22;35;48;15;6;7;-15-22-35-44-48-;-6-7-
mardi;2024-07-16;39;35;2;36;32;7;8;-2-32-35-36-39-;-7-8-
vendredi;2024-07-12;12;39;24;25;18;10;8;-12-18-24-25-39-;-8-10-
mardi;2024-07-09;28;15;19;39;6;7;11;-6-15-19-28-39-;-7-11-
vendredi;2024-07-05;29;47;31;13;11;11;1;-11-13-29-31-47-;-1-11-
mardi;2024-07-02;46;7;2;34;35;6;8;-2-7-34-35-46-;-6-8-
vendredi;2024-06-28;10;18;35;16;22;10;1;-10-16-18-22-35-;-1-10-
mardi;2024-06-25;14;16;49;45;37;5;7;-14-16-37-45-49-;-5-7-
vendredi;2024-06-21;4;3;11;7;17;12;3;-3-4-7-11-17-;-3-12-
mardi;2024-06-18;34;11;36;33;3;12;1;-3-11-33-34-36-;-1-12-
vendredi;2024-06-14;13;2;16;24;32;7;1;-2-13-16-24-32-;-1-7-
mardi;2024-06-11;48;15;7;34;45;7;9;-7-15-34-45-48-;-7-9-
vendredi;2024-06-07;30;26;15;37;16;8;5;-15-16-26-30-37-;-5-8-
mardi;2024-06-04;43;7;6;9;14;4;3;-6-7-9-14-43-;-3-4-
vendredi;2024-05-31;16;33;4;34;7;8;7;-4-7-16-33-34-;-7-8-
mardi;2024-05-28;18;16;35;41;36;6;7;-16-18-35-36-41-;-6-7-
vendredi;2024-05-24;12;9;22;18;50;1;3;-9-12-18-22-50-;-1-3-
mardi;2024-05-21;13;11;48;14;34;9;7;-11-13-14-34-48-;-7-9-
vendredi;2024-05-17;31;41;46;32;18;10;1;-18-31-32-41-46-;-1-10-
mardi;2024-05-14;35;2;8;28;17;7;9;-2-8-17-28-35-;-7-9-
vendredi;2024-05-10;29;44;13;48;28;12;4;-13-28-29-44-48-;-4-12-
mardi;2024-05-07;45;35;42;36;41;11;6;-35-36-41-42-45-;-6-11-
vendredi;2024-05-03;6;49;9;30;10;4;3;-6-9-10-30-49-;-3-4-
mardi;2024-04-30;24;47;13;22;33;5;1;-13-22-24-33-47-;-1-5-
vendredi;2024-04-26;47;2;39;20;40;8;4;-2-20-39-40-47-;-4-8-
mardi;2024-04-23;9;49;11;6;32;2;10;-6-9-11-32-49-;-2-10-
vendredi;2024-04-19;10;20;46;40;44;1;3;-10-20-40-44-46-;-1-3-
mardi;2024-04-16;39;31;46;29;22;3;7;-22-29-31-39-46-;-3-7-
vendredi;2024-04-12;45;16;12;2;3;11;2;-2-3-12-16-45-;-2-11-
mardi;2024-04-09;27;46;19;23;26;2;10;-19-23-26-27-46-;-2-10-
vendredi;2024-04-05;26;37;35;18;13;11;8;-13-18-26-35-37-;-8-11-
mardi;2024-04-02;36;1;48;23;31;8;5;-1-23-31-36-48-;-5-8-
vendredi;2024-03-29;49;35;36;17;16;10;1;-16-17-35-36-49-;-1-10-
mardi;2024-03-26;14;26;29;13;2;5;6;-2-13-14-26-29-;-5-6-
vendredi;2024-03-22;32;8;44;11;23;9;10;-8-11-23-32-44-;-9-10-
mardi;2024-03-19;32;18;7;20;16;1;3;-7-16-18-20-32-;-1-3-
vendredi;2024-03-15;31;40;34;4;1;4;5;-1-4-31-34-40-;-4-5-
mardi;2024-03-12;30;38;19;13;46;4;12;-13-19-30-38-46-;-4-12-
vendredi;2024-03-08;12;11;8;44;16;4;7;-8-11-12-16-44-;-4-7-
mardi;2024-03-05;23;36;2;17;15;8;3;-2-15-17-23-36-;-3-8-
vendredi;2024-03-01;34;20;4;19;7;2;4;-4-7-19-20-34-;-2-4-
mardi;2024-02-27;20;3;4;9;12;5;6;-3-4-9-12-20-;-5-6-
vendredi;2024-02-23;27;49;30;24;28;1;12;-24-27-28-30-49-;-1-12-
mardi;2024-02-20;42;31;37;48;23;7;3;-23-31-37-42-48-;-3-7-
vendredi;2024-02-16;26;14;13;24;8;1;2;-8-13-14-24-26-;-1-2-
mardi;2024-02-13;13;18;46;17;20;9;4;-13-17-18-20-46-;-4-9-
vendredi;2024-02-09;37;35;45;24;23;12;9;-23-24-35-37-45-;-9-12-
mardi;2024-02-06;45;7;2;28;21;11;5;-2-7-21-28-45-;-5-11-
vendredi;2024-02-02;13;42;27;23;20;9;5;-13-20-23-27-42-;-5-9-
mardi;2024-01-30;10;27;5;30;19;6;5;-5-10-19-27-30-;-5-6-
vendredi;2024-01-26;32;19;41;8;42;12;9;-8-19-32-41-42-;-9-12-
mardi;2024-01-23;48;23;14;50;39;12;3;-14-23-39-48-50-;-3-12-
vendredi;2024-01-19;50;27;28;48;44;7;12;-27-28-44-48-50-;-7-12-
mardi;2024-01-16;18;21;33;45;10;12;8;-10-18-21-33-45-;-8-12-
vendredi;2024-01-12;18;16;17;49;45;9;12;-16-17-18-45-49-;-9-12-
mardi;2024-01-09;12;9;2;39;40;3;1;-2-9-12-39-40-;-1-3-
vendredi;2024-01-05;18;4;39;7;50;8;3;-4-7-18-39-50-;-3-8-
mardi;2024-01-02;7;18;49;46;15;12;10;-7-15-18-46-49-;-10-12-
vendredi;2023-12-29;2;36;19;37;3;9;6;-2-3-19-36-37-;-6-9-
mardi;2023-12-26;47;27;8;30;35;9;10;-8-27-30-35-47-;-9-10-
vendredi;2023-12-22;14;49;34;44;6;12;4;-6-14-34-44-49-;-4-12-
mardi;2023-12-19;20;43;41;45;10;12;2;-10-20-41-43-45-;-2-12-
vendredi;2023-12-15;2;13;37;38;48;9;5;-2-13-37-38-48-;-5-9-
mardi;2023-12-12;43;39;28;37;6;9;12;-6-28-37-39-43-;-9-12-
vendredi;2023-12-08;48;30;50;42;17;4;8;-17-30-42-48-50-;-4-8-
mardi;2023-12-05;6;20;4;24;25;5;9;-4-6-20-24-25-;-5-9-
vendredi;2023-12-01;38;10;4;14;50;9;12;-4-10-14-38-50-;-9-12-
mardi;2023-11-28;27;44;12;33;16;7;8;-12-16-27-33-44-;-7-8-
vendredi;2023-11-24;48;15;29;20;39;7;1;-15-20-29-39-48-;-1-7-
mardi;2023-11-21;46;47;29;34;19;2;3;-19-29-34-46-47-;-2-3-
vendredi;2023-11-17;26;50;24;2;46;2;7;-2-24-26-46-50-;-2-7-
mardi;2023-11-14;13;50;36;16;44;3;5;-13-16-36-44-50-;-3-5-
vendredi;2023-11-10;30;42;10;21;38;12;2;-10-21-30-38-42-;-2-12-
mardi;2023-11-07;8;10;11;39;30;10;4;-8-10-11-30-39-;-4-10-
vendredi;2023-11-03;31;47;21;39;8;9;5;-8-21-31-39-47-;-5-9-
mardi;2023-10-31;20;40;5;50;7;10;2;-5-7-20-40-50-;-2-10-
vendredi;2023-10-27;29;48;33;49;35;8;3;-29-33-35-48-49-;-3-8-
mardi;2023-10-24;18;16;8;31;34;6;9;-8-16-18-31-34-;-6-9-
vendredi;2023-10-20;20;40;28;2;45;5;1;-2-20-28-40-45-;-1-5-
mardi;2023-10-17;40;20;10;35;17;4;3;-10-17-20-35-40-;-3-4-
vendredi;2023-10-13;41;26;21;40;28;4;2;-21-26-28-40-41-;-2-4-
mardi;2023-10-10;18;33;20;22;43;3;9;-18-20-22-33-43-;-3-9-
vendredi;2023-10-06;31;43;21;29;34;2;9;-21-29-31-34-43-;-2-9-
mardi;2023-10-03;45;6;22;24;20;5;4;-6-20-22-24-45-;-4-5-
vendredi;2023-09-29;32;9;11;21;13;7;2;-9-11-13-21-32-;-2-7-
mardi;2023-09-26;14;6;23;2;19;5;7;-2-6-14-19-23-;-5-7-
vendredi;2023-09-22;3;23;35;34;24;8;5;-3-23-24-34-35-;-5-8-
mardi;2023-09-19;10;31;41;15;42;2;5;-10-15-31-41-42-;-2-5-
vendredi;2023-09-15;21;45;12;48;14;8;11;-12-14-21-45-48-;-8-11-
mardi;2023-09-12;14;5;42;36;40;11;2;-5-14-36-40-42-;-2-11-
vendredi;2023-09-08;33;20;10;21;26;4;3;-10-20-21-26-33-;-3-4-
mardi;2023-09-05;41;48;7;1;24;10;12;-1-7-24-41-48-;-10-12-
vendredi;2023-09-01;35;43;37;5;4;5;6;-4-5-35-37-43-;-5-6-
mardi;2023-08-29;21;40;23;32;49;11;8;-21-23-32-40-49-;-8-11-
vendredi;2023-08-25;44;35;16;34;17;5;10;-16-17-34-35-44-;-5-10-
mardi;2023-08-22;23;9;40;2;32;6;7;-2-9-23-32-40-;-6-7-
vendredi;2023-08-18;47;25;23;30;44;9;12;-23-25-30-44-47-;-9-12-
mardi;2023-08-15;3;32;5;43;9;6;10;-3-5-9-32-43-;-6-10-
vendredi;2023-08-11;10;13;34;4;6;3;5;-4-6-10-13-34-;-3-5-
mardi;2023-08-08;40;8;33;9;35;6;3;-8-9-33-35-40-;-3-6-
vendredi;2023-08-04;15;31;48;20;44;1;3;-15-20-31-44-48-;-1-3-
mardi;2023-08-01;35;27;25;45;40;7;11;-25-27-35-40-45-;-7-11-
vendredi;2023-07-28;38;7;34;32;33;9;6;-7-32-33-34-38-;-6-9-
mardi;2023-07-25;11;7;27;5;37;12;6;-5-7-11-27-37-;-6-12-
vendredi;2023-07-21;7;35;33;36;31;10;7;-7-31-33-35-36-;-7-10-
mardi;2023-07-18;34;35;12;4;45;9;1;-4-12-34-35-45-;-1-9-
vendredi;2023-07-14;5;29;48;8;35;5;6;-5-8-29-35-48-;-5-6-
mardi;2023-07-11;48;28;2;11;42;4;9;-2-11-28-42-48-;-4-9-
vendredi;2023-07-07;2;12;19;11;38;8;4;-2-11-12-19-38-;-4-8-
mardi;2023-07-04;23;36;44;17;14;8;2;-14-17-23-36-44-;-2-8-
vendredi;2023-06-30;29;25;6;36;1;10;7;-1-6-25-29-36-;-7-10-
mardi;2023-06-27;27;22;44;17;23;7;1;-17-22-23-27-44-;-1-7-
vendredi;2023-06-23;11;3;33;46;1;10;11;-1-3-11-33-46-;-10-11-
mardi;2023-06-20;35;28;11;32;17;6;5;-11-17-28-32-35-;-5-6-
vendredi;2023-06-16;34;7;41;26;44;9;11;-7-26-34-41-44-;-9-11-
mardi;2023-06-13;15;16;21;50;41;5;6;-15-16-21-41-50-;-5-6-
vendredi;2023-06-09;18;26;36;50;41;11;12;-18-26-36-41-50-;-11-12-
mardi;2023-06-06;21;13;39;32;50;10;2;-13-21-32-39-50-;-2-10-
vendredi;2023-06-02;25;3;15;43;12;10;11;-3-12-15-25-43-;-10-11-
